ID,Archetype,City Type,Income Level,Age,Health Consciousness (1-10),Price Sensitivity (1-10),Brand Loyalty (1-10),Distribution Weight
1,Urban Health Enthusiast,Urban,High,30,8.61,3.57,7.11,15
2,Urban Health Enthusiast,Urban,High,28,8.62,2.34,7.78,15
3,Urban Health Enthusiast,Urban,High,36,8.95,3.55,6.06,15
4,Urban Health Enthusiast,Urban,High,35,9.62,2.88,6.75,15
5,Urban Health Enthusiast,Urban,High,33,9.00,3.51,7.33,15
6,Urban Health Enthusiast,Urban,High,23,8.46,3.38,7.39,15
7,Urban Health Enthusiast,Urban,High,40,8.18,3.25,7.04,15
8,Urban Health Enthusiast,Urban,High,21,9.37,3.85,6.53,15
9,Urban Health Enthusiast,Urban,High,64,9.32,3.55,6.26,15
10,Urban Health Enthusiast,Urban,High,63,8.30,2.05,7.69,15
11,Urban Health Enthusiast,Urban,High,22,9.33,2.70,7.14,15
12,Urban Health Enthusiast,Urban,High,51,8.51,3.65,6.18,15
13,Urban Health Enthusiast,Urban,High,29,8.85,2.58,6.60,15
14,Urban Health Enthusiast,Urban,High,58,8.31,2.05,6.36,15
15,Urban Health Enthusiast,Urban,High,20,8.60,3.00,6.49,15
16,Urban Health Enthusiast,Urban,High,59,9.93,3.12,6.19,15
17,Urban Health Enthusiast,Urban,High,42,8.92,3.61,6.54,15
18,Urban Health Enthusiast,Urban,High,64,8.09,2.59,7.77,15
19,Urban Health Enthusiast,Urban,High,21,9.50,2.82,7.81,15
20,Urban Health Enthusiast,Urban,High,46,9.32,3.97,7.66,15
21,Urban Health Enthusiast,Urban,High,42,9.81,3.19,6.12,15
22,Urban Health Enthusiast,Urban,High,57,9.04,3.67,7.08,15
23,Urban Health Enthusiast,Urban,High,38,9.99,2.59,7.37,15
24,Urban Health Enthusiast,Urban,High,42,8.56,2.09,7.90,15
25,Urban Health Enthusiast,Urban,High,46,8.80,2.79,7.55,15
26,Urban Health Enthusiast,Urban,High,39,9.62,3.28,7.04,15
27,Urban Health Enthusiast,Urban,High,55,8.24,3.65,6.53,15
28,Urban Health Enthusiast,Urban,High,64,8.87,2.41,7.24,15
29,Urban Health Enthusiast,Urban,High,47,9.77,2.44,6.01,15
30,Urban Health Enthusiast,Urban,High,47,8.64,2.82,6.06,15
31,Urban Health Enthusiast,Urban,High,55,9.78,3.32,6.20,15
32,Urban Health Enthusiast,Urban,High,59,8.25,3.49,6.77,15
33,Urban Health Enthusiast,Urban,High,19,8.59,3.74,6.96,15
34,Urban Health Enthusiast,Urban,High,55,8.18,2.84,6.46,15
35,Urban Health Enthusiast,Urban,High,33,8.50,3.11,6.26,15
36,Urban Health Enthusiast,Urban,High,43,8.28,2.74,6.45,15
37,Urban Health Enthusiast,Urban,High,55,8.16,2.87,7.22,15
38,Urban Health Enthusiast,Urban,High,37,9.54,2.72,7.13,15
39,Urban Health Enthusiast,Urban,High,51,9.27,3.58,6.03,15
40,Urban Health Enthusiast,Urban,High,24,8.83,3.61,6.79,15
41,Urban Health Enthusiast,Urban,High,24,9.48,2.62,6.47,15
42,Urban Health Enthusiast,Urban,High,31,8.97,3.70,7.05,15
